"","day","hour","wind_speed_m/s","temperature","relative_humidity","barometric_pressure","total_precipitation","day_cleaned"
"1","Wednesday","0","1","12","30","1014","UVI: 106:10 ~ 18:15","Wednesday 19"
"2","Wednesday","3","2","11","29","1014","UVI: 106:10 ~ 18:15","Wednesday 19"
"3","Wednesday","6","2","18","19","1015","UVI: 106:10 ~ 18:15","Wednesday 19"
"4","Wednesday","9","1","27","11","1014","UVI: 106:10 ~ 18:15","Wednesday 19"
"5","Wednesday","12","3","28","10","1011","UVI: 106:10 ~ 18:15","Wednesday 19"
"6","Wednesday","15","3","25","11","1011","UVI: 106:10 ~ 18:15","Wednesday 19"
"7","Wednesday","18","2","15","22","1017","UVI: 106:10 ~ 18:15","Wednesday 19"
"8","Wednesday","21","1","14","22","1018","UVI: 106:10 ~ 18:15","Wednesday 19"
"9","Thursday","0","1","13","23","1017","UVI: 106:09 ~ 18:15","Thursday 20"
"10","Thursday","3","2","12","25","1017","UVI: 106:09 ~ 18:15","Thursday 20"
"11","Thursday","6","2","19","18","1018","UVI: 106:09 ~ 18:15","Thursday 20"
"12","Thursday","9","2","26","10","1016","UVI: 106:09 ~ 18:15","Thursday 20"
"13","Thursday","12","5","28","10","1012","UVI: 106:09 ~ 18:15","Thursday 20"
"14","Thursday","15","5","25","12","1012","UVI: 106:09 ~ 18:15","Thursday 20"
"15","Thursday","18","2","17","20","1015","UVI: 106:09 ~ 18:15","Thursday 20"
"16","Thursday","21","1","16","21","1017","UVI: 106:09 ~ 18:15","Thursday 20"
"17","Friday","0","2","14","23","1016","UVI: 96:08 ~ 18:16","Friday 21"
"18","Friday","3","2","13","25","1015","UVI: 96:08 ~ 18:16","Friday 21"
"19","Friday","6","2","19","20","1016","UVI: 96:08 ~ 18:16","Friday 21"
"20","Friday","9","2","26","12","1015","UVI: 96:08 ~ 18:16","Friday 21"
"21","Friday","12","4","27","10","1011","UVI: 96:08 ~ 18:16","Friday 21"
"22","Friday","15","4","25","13","1010","UVI: 96:08 ~ 18:16","Friday 21"
"23","Friday","18","2","17","37","1014","UVI: 96:08 ~ 18:16","Friday 21"
"24","Friday","21","2","15","55","1016","UVI: 96:08 ~ 18:16","Friday 21"
"25","Saturday","0","1","13","61","1015","UVI: 76:07 ~ 18:16","Satuay 22"
"26","Saturday","3","2","13","57","1014","UVI: 76:07 ~ 18:16","Satuay 22"
"27","Saturday","6","1","17","42","1015","UVI: 76:07 ~ 18:16","Satuay 22"
"28","Saturday","9","4","17","51","1017","UVI: 76:07 ~ 18:16","Satuay 22"
"29","Saturday","12","3","14","71","1016","UVI: 76:07 ~ 18:16","Satuay 22"
"30","Saturday","15","4","13","71","1015","UVI: 76:07 ~ 18:16","Satuay 22"
"31","Saturday","18","3","10","86","1017","UVI: 76:07 ~ 18:16","Satuay 22"
"32","Saturday","21","2","10","74","1018","UVI: 76:07 ~ 18:16","Satuay 22"
"33","Sunday","0","2","10","79","1017","UVI: 66:05 ~ 18:17","Suay 23"
"34","Sunday","3","2","10","75","1016","UVI: 66:05 ~ 18:17","Suay 23"
"35","Sunday","6","2","14","59","1018","UVI: 66:05 ~ 18:17","Suay 23"
"36","Sunday","9","2","20","38","1016","UVI: 66:05 ~ 18:17","Suay 23"
"37","Sunday","12","3","19","48","1014","UVI: 66:05 ~ 18:17","Suay 23"
"38","Sunday","15","2","16","60","1013","UVI: 66:05 ~ 18:17","Suay 23"
"39","Sunday","18","1","14","72","1015","UVI: 66:05 ~ 18:17","Suay 23"
"40","Sunday","21","0","14","71","1015","UVI: 66:05 ~ 18:17","Suay 23"
"41","Monday","0","1","13","74","1014","UVI: 06:04 ~ 18:18","Moay 24"
"42","Monday","3","1","11","82","1014","UVI: 06:04 ~ 18:18","Moay 24"
"43","Monday","6","1","15","63","1016","UVI: 06:04 ~ 18:18","Moay 24"
"44","Monday","9","2","21","41","1015","UVI: 06:04 ~ 18:18","Moay 24"
"45","Monday","12","3","24","33","1010","UVI: 06:04 ~ 18:18","Moay 24"
"46","Monday","15","3","21","45","1011","UVI: 06:04 ~ 18:18","Moay 24"
"47","Monday","18","2","16","62","1015","UVI: 06:04 ~ 18:18","Moay 24"
"48","Monday","21","1","14","69","1014","UVI: 06:04 ~ 18:18","Moay 24"
"49","Tuesday","0","1","13","72","1012","6:03 ~ 18:18","Tuesday 25"
"50","Tuesday","3","2","12","72","1012","6:03 ~ 18:18","Tuesday 25"
"51","Tuesday","6","1","20","44","1013","6:03 ~ 18:18","Tuesday 25"
"52","Tuesday","9","2","25","33","1010","6:03 ~ 18:18","Tuesday 25"
"53","Tuesday","12","3","25","33","1007","6:03 ~ 18:18","Tuesday 25"
"54","Tuesday","15","3","22","44","1008","6:03 ~ 18:18","Tuesday 25"
